timestamp,sensor,value
2026-05-16T10:24:00Z,bed/1,71.50
2026-05-16T10:24:30Z,bed/1,71.27
2026-05-16T10:25:00Z,bed/1,72.00
2026-05-16T10:25:30Z,bed/1,72.00
2026-05-16T10:26:00Z,bed/1,72.00
2026-05-16T10:26:30Z,bed/1,72.00
2026-05-16T10:27:00Z,bed/1,72.00
2026-05-16T10:27:30Z,bed/1,72.00
2026-05-16T10:28:00Z,bed/1,72.00
2026-05-16T10:28:30Z,bed/1,72.00
2026-05-16T10:29:00Z,bed/1,71.14
2026-05-16T10:29:30Z,bed/1,71.38
2026-05-16T10:30:00Z,bed/1,71.67
2026-05-16T10:30:30Z,bed/1,71.98
2026-05-16T10:31:00Z,bed/1,72.31
2026-05-16T10:31:30Z,bed/1,72.65
2026-05-16T10:32:00Z,bed/1,72.97
2026-05-16T10:32:30Z,bed/1,73.28
2026-05-16T10:33:00Z,bed/1,73.56
2026-05-16T10:33:30Z,bed/1,73.80
2026-05-16T10:34:00Z,bed/1,73.99
2026-05-16T10:34:30Z,bed/1,74.12
2026-05-16T10:35:00Z,bed/1,74.18
2026-05-16T10:35:30Z,bed/1,74.19
2026-05-16T10:36:00Z,bed/1,74.12
2026-05-16T10:36:30Z,bed/1,74.00
2026-05-16T10:37:00Z,bed/1,73.81
2026-05-16T10:37:30Z,bed/1,73.58
2026-05-16T10:38:00Z,bed/1,73.30
2026-05-16T10:38:30Z,bed/1,72.98
2026-05-16T10:39:00Z,bed/1,72.65
2026-05-16T10:39:30Z,bed/1,72.30
2026-05-16T10:45:00Z,bed/1,71.95
2026-05-16T10:45:30Z,bed/1,71.62
2026-05-16T10:46:00Z,bed/1,71.32
2026-05-16T10:46:30Z,bed/1,71.05
2026-05-16T10:47:00Z,bed/1,70.82
2026-05-16T10:47:30Z,bed/1,70.65
2026-05-16T10:48:00Z,bed/1,70.53
2026-05-16T10:48:30Z,bed/1,70.47
2026-05-16T10:49:00Z,bed/1,70.47
2026-05-16T10:49:30Z,bed/1,70.53
2026-05-16T10:50:00Z,bed/1,70.65
2026-05-16T10:50:30Z,bed/1,70.81
2026-05-16T10:51:00Z,bed/1,71.01
2026-05-16T10:51:30Z,bed/1,71.23
2026-05-16T10:52:00Z,bed/1,71.48
2026-05-16T10:52:30Z,bed/1,71.73
2026-05-16T10:53:00Z,bed/1,71.98
2026-05-16T10:53:30Z,bed/1,72.21
2026-05-16T10:54:00Z,bed/1,72.41
2026-05-16T10:54:30Z,bed/1,72.58
2026-05-16T10:55:00Z,bed/1,72.71
2026-05-16T10:55:30Z,bed/1,72.78
2026-05-16T10:56:00Z,bed/1,72.81
2026-05-16T10:56:30Z,bed/1,72.78
2026-05-16T10:57:00Z,bed/1,72.69
2026-05-16T10:57:30Z,bed/1,72.56
2026-05-16T10:58:00Z,bed/1,72.38
2026-05-16T10:58:30Z,bed/1,72.17
2026-05-16T10:59:00Z,bed/1,71.93
2026-05-16T10:59:30Z,bed/1,71.67
2026-05-16T11:00:00Z,bed/1,71.40
2026-05-16T11:00:30Z,bed/1,71.14
2026-05-16T11:01:00Z,bed/1,70.89
2026-05-16T11:01:30Z,bed/1,70.68
2026-05-16T11:02:00Z,bed/1,70.50
2026-05-16T11:02:30Z,bed/1,70.37
2026-05-16T11:03:00Z,bed/1,70.29
2026-05-16T11:03:30Z,bed/1,70.27
2026-05-16T11:04:00Z,bed/1,70.32
2026-05-16T11:04:30Z,bed/1,70.42
2026-05-16T11:05:00Z,bed/1,999.00
2026-05-16T11:05:30Z,bed/1,70.80
2026-05-16T11:06:00Z,bed/1,71.06
2026-05-16T11:06:30Z,bed/1,71.37
2026-05-16T11:07:00Z,bed/1,71.70
2026-05-16T11:07:30Z,bed/1,72.05
2026-05-16T11:08:00Z,bed/1,72.41
2026-05-16T11:08:30Z,bed/1,72.76
2026-05-16T11:09:00Z,bed/1,73.09
2026-05-16T11:09:30Z,bed/1,73.40
2026-05-16T11:10:00Z,bed/1,73.66
2026-05-16T11:10:30Z,bed/1,73.87
2026-05-16T11:11:00Z,bed/1,74.02
2026-05-16T11:11:30Z,bed/1,74.11
2026-05-16T11:12:00Z,bed/1,74.14
2026-05-16T11:12:30Z,bed/1,74.10
2026-05-16T11:13:00Z,bed/1,74.00
2026-05-16T11:13:30Z,bed/1,73.85
2026-05-16T11:14:00Z,bed/1,73.64
2026-05-16T11:14:30Z,bed/1,73.38
2026-05-16T11:15:00Z,bed/1,73.10
2026-05-16T11:15:30Z,bed/1,72.79
2026-05-16T11:16:00Z,bed/1,72.47
2026-05-16T11:16:30Z,bed/1,72.16
2026-05-16T11:17:00Z,bed/1,71.85
2026-05-16T11:17:30Z,bed/1,71.58
2026-05-16T11:18:00Z,bed/1,71.33
2026-05-16T11:18:30Z,bed/1,71.14
2026-05-16T11:19:00Z,bed/1,70.99
2026-05-16T11:19:30Z,bed/1,70.89
2026-05-16T11:20:00Z,bed/1,73.50
2026-05-16T11:20:30Z,bed/1,74.00
2026-05-16T11:21:00Z,bed/1,74.50
2026-05-16T11:21:30Z,bed/1,75.00
2026-05-16T11:22:00Z,bed/1,75.50
2026-05-16T11:22:30Z,bed/1,76.00
2026-05-16T11:23:00Z,bed/1,76.50
2026-05-16T11:23:30Z,bed/1,77.00
2026-05-16T11:24:00Z,bed/1,77.50
2026-05-16T11:24:30Z,bed/1,78.00
2026-05-16T11:25:00Z,bed/1,78.50
2026-05-16T11:25:30Z,bed/1,79.00
2026-05-16T11:26:00Z,bed/1,79.50
2026-05-16T11:26:30Z,bed/1,80.00
2026-05-16T11:27:00Z,bed/1,80.50
2026-05-16T11:27:30Z,bed/1,81.00
2026-05-16T11:28:00Z,bed/1,81.50
2026-05-16T11:28:30Z,bed/1,82.00
2026-05-16T11:29:00Z,bed/1,82.50
2026-05-16T11:29:30Z,bed/1,83.00
2026-05-16T11:30:00Z,bed/1,83.50
2026-05-16T11:30:30Z,bed/1,84.00
2026-05-16T11:31:00Z,bed/1,84.50
2026-05-16T11:31:30Z,bed/1,85.00
2026-05-16T11:32:00Z,bed/1,85.50
2026-05-16T11:32:30Z,bed/1,86.00
2026-05-16T11:33:00Z,bed/1,86.50
2026-05-16T11:33:30Z,bed/1,87.00
2026-05-16T11:34:00Z,bed/1,87.50
2026-05-16T11:34:30Z,bed/1,88.00
2026-05-16T11:35:00Z,bed/1,88.50
2026-05-16T11:35:30Z,bed/1,89.00
2026-05-16T11:36:00Z,bed/1,89.50
2026-05-16T11:36:30Z,bed/1,90.00
2026-05-16T11:37:00Z,bed/1,90.50
2026-05-16T11:37:30Z,bed/1,91.00
2026-05-16T11:38:00Z,bed/1,91.50
2026-05-16T11:38:30Z,bed/1,92.00
2026-05-16T11:39:00Z,bed/1,92.50
2026-05-16T11:39:30Z,bed/1,93.00
2026-05-16T11:40:00Z,bed/1,93.50
2026-05-16T11:40:30Z,bed/1,94.00
2026-05-16T11:41:00Z,bed/1,94.50
2026-05-16T11:41:30Z,bed/1,95.00
2026-05-16T11:42:00Z,bed/1,95.50
2026-05-16T11:42:30Z,bed/1,96.00
2026-05-16T11:43:00Z,bed/1,96.50
2026-05-16T11:43:30Z,bed/1,97.00
2026-05-16T11:44:00Z,bed/1,97.50
2026-05-16T11:44:30Z,bed/1,98.00
